PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,5,3,8/12/1997,HW,2,4.5,5/16/1996,1996,1994
ABRP,5,3,8/12/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,3,8/12/1997,PP,2,7.85,5/16/1996,1996,1994
ABRP,5,3,8/12/1997,QE,3,9.2,5/16/1996,1996,1994
ABRP,5,3,8/12/1997,QL,0,0,5/16/1996,1996,1994
ABRP,5,3,8/12/1997,QU,4,11.65,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,HW,2,2.1,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,PP,0,0,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,QE,0,0,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,QL,1,0.1,5/16/1996,1996,1994
ABRP,5,4,8/12/1997,QU,3,17.05,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,HW,0,0,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,PP,1,0.75,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,QE,0,0,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,QL,8,10.65,5/16/1996,1996,1994
ABRP,5,5,8/12/1997,QU,4,5.4,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,HW,0,0,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,PP,0,0,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,QE,0,0,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,QL,6,16.15,5/16/1996,1996,1994
ABRP,5,6,8/12/1997,QU,3,5.6,5/16/1996,1996,1994
ABRP,15,1,8/11/1997,HW,4,5.55,5/3/1996,1996,1996
ABRP,15,1,8/11/1997,PE,2,3.05,5/3/1996,1996,1996
ABRP,15,1,8/11/1997,PP,1,8.15,5/3/1996,1996,1996
ABRP,15,1,8/11/1997,QE,0,0,5/3/1996,1996,1996
ABRP,15,1,8/11/1997,QL,0,0,5/3/1996,1996,1996
ABRP,15,1,8/11/1997,QU,5,18.3,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,QL,0,0,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,QE,3,24.85,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,QU,0,0,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,HW,5,3.7,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,PE,0,0,5/3/1996,1996,1996
ABRP,12,1,8/21/1998,PP,1,6.75,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,QL,5,11,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,QE,2,2.05,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,QU,1,6.85,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,HW,0,0,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,PE,0,0,5/3/1996,1996,1996
ABRP,12,2,8/21/1998,PP,2,3.5,5/3/1996,1996,1996
ABRP,21,1,8/24/1998,QL,3,1.75,5/27/1997,1996,1996
ABRP,21,1,8/24/1998,QE,0,0,5/27/1997,1996,1996
ABRP,21,1,8/24/1998,QU,3,2.55,5/27/1997,1996,1996
ABRP,21,1,8/24/1998,HW,0,0,5/27/1997,1996,1996
ABRP,21,1,8/24/1998,PE,0,0,5/27/1997,1996,1996
ABRP,21,1,8/24/1998,PP,0,0,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,QL,1,0.55,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,QE,0,0,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,QU,0,0,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,HW,0,0,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,PE,0,0,5/27/1997,1996,1996
ABRP,21,2,8/24/1998,PP,3,3.65,5/27/1997,1996,1996
